Medicine Name,Uses,Side_effects
Lulimac Cream,Treatment of Fungal skin infections,Application site reactions burning irritation itching and redness Dry skin Skin peeling Blisters on skin
Lupidium Tablet, Diarrhea,Constipation Nausea Headache Stomach pain
Livoluk Fibre  Granules, Constipation,Flatulence Stomach pain
Lamosyn 100 Tablet, Epilepsy/Seizures Bipolar disorder,Skin rash Headache Nausea Vomiting Dryness in mouth Insomnia difficulty in sleeping Sleepiness Dizziness Back pain Abdominal pain Blurred vision Double vision Impaired coordination Nasal congestion stuffy nose Infection
Lactifem Itch Vaginal Cream Vaginal Cream, Fungal infections,Application site reactions burning irritation itching and redness
Lamitor DT 50 Tablet, Epilepsy/Seizures Bipolar disorder,Skin rash Headache Nausea Vomiting Dryness in mouth Insomnia difficulty in sleeping Sleepiness Dizziness Back pain Abdominal pain Blurred vision Double vision Impaired coordination Nasal congestion stuffy nose Infection
Luray Cream,Treatment of Fungal skin infections,Application site reactions burning irritation itching and redness Dry skin Skin peeling Blisters on skin
Losar Beta-H Tablet, Hypertension (high blood pressure),Nausea Taste change Diarrhea Upset stomach Headache Dizziness Cold extremities Weakness Numbness of extremity Increased uric acid level in blood Increased blood lipid level Decreased magnesium level in blood Slow heart rate Decreased sodium level in blood Decreased blood pressure
Lezyncet-M Tablet,Treatment of Sneezing and runny nose due to allergiesTreatment of Hay feverTreatment of Allergic skin conditions,Nausea Diarrhea Dryness in mouth Fatigue Headache Skin rash Sleepiness Vomiting
Lorfast MT Tablet,Treatment of Sneezing and runny nose due to allergiesTreatment of Hay feverTreatment of Allergic skin conditions,Nausea Diarrhea Dryness in mouth Fatigue Headache Skin rash Sleepiness Vomiting
Lozivate-MF Ointment, Eczema Psoriasis,Application site reactions burning irritation itching and redness
Laveta 10 Tablet DT,Treatment of Allergic conditions,Sleepiness Fatigue Dryness in mouth Headache Vomiting Nasopharyngitis inflammation of the throat and nasal passages
Lejet Tablet,Treatment of Allergic conditions,Sleepiness Fatigue Dryness in mouth Headache Vomiting Nasopharyngitis inflammation of the throat and nasal passages
LzHH Lotion,Treatment of Fungal skin infections,Application site reactions burning irritation itching and redness Dry skin Skin peeling Blisters on skin
Lornoxi P Tablet, Pain relief,Nausea Vomiting Indigestion Stomach pain Diarrhea
Lomela Lite Cream, Melasma,Thinning of skin Dry skin Application site reactions burning irritation itching and redness
Levigress 250 Tablet,Treatment of Epilepsy/Seizures,Sleepiness Dizziness Fatigue Headache Decreased appetite Behavioral changes Aggressive behavior Irritation Agitation Nasal congestion stuffy nose Infection Convulsion Nasopharyngitis inflammation of the throat and nasal passages Nausea Tremors Vertigo Lethargy
Lacotide 200mg Tablet, Epilepsy/Seizures,Dizziness Headache Nausea Sleepiness Vomiting Visual disturbance Dryness in mouth Muscle spasm
Lastuss LA Syrup, Dry cough,Sleepiness Dizziness Confusion Nausea
Luligee Cream,Treatment of Fungal skin infections,Application site reactions burning irritation itching and redness Dry skin Skin peeling Blisters on skin
Losium-H Tablet,Treatment of Hypertension (high blood pressure),Nausea Taste change Upset stomach Diarrhea Headache Dizziness Weakness Decreased blood pressure Increased blood uric acid Increased blood lipid level Glucose intolerance Electrolyte imbalance
Lacoxa 100mg Tablet, Epilepsy/Seizures,Dizziness Headache Nausea Sleepiness Vomiting Visual disturbance Dryness in mouth Muscle spasm
Lozivate-MF Lotion, Eczema Psoriasis,Application site reactions burning irritation itching and redness
Lukotas 10mg Tablet,Prevention of Asthma,Headache Diarrhea Abdominal pain Fever Upper respiratory tract infection Cough Sore throat Runny nose Sinus inflammation Ear inflammation
Luliclinz-XL Cream,Treatment of Fungal skin infections,Application site reactions burning irritation itching and redness Dry skin Skin peeling Blisters on skin
Lineca Tablet,Treatment of Severe bacterial infections,Vomiting Headache Nausea Decreased blood cells red cells white cells and platelets Diarrhea
Lumacip Plus Cream, Melasma,Erythema skin redness Skin peeling Burning sensation Dryness Itching
Lubricart-D Tablet, Osteoarthritis,Nausea Diarrhea Constipation Indigestion Heartburn Urine discoloration
Leptomate 50 Tablet, Epilepsy/SeizuresPrevention of Migraine Lennox–Gastaut syndrome,Abdominal pain Diarrhea Dizziness Fatigue Fever Loss of appetite Memory impairment Nausea Nervousness Numbness Psychomotor impairment Sleepiness Speech disorder Taste change Upper respiratory tract infection Visual impairment Weight loss
Lutiderm Cream,Treatment of Skin conditions with inflammation & itching,Application site reactions burning irritation itching and redness
Lenalid 25 Capsule,Treatment of Multiple myelomaTreatment of Myelodysplastic syndrome,Headache Nausea Rash Breathlessness Dizziness Fatigue Decreased white blood cell count neutrophils Joint pain Itching Diarrhea Low blood platelets Peripheral edema Cough Back pain Upper respiratory tract infection Decreased appetite Nasopharyngitis inflammation of the throat and nasal passages
Lyortam 1gm Injection, Severe bacterial infections,Infusion site inflammation Headache Vomiting Nausea Diarrhea Rash Dizziness Insomnia difficulty in sleeping Breathlessness Infusion site reaction Edema swelling Abdominal pain Disorientation alteration of mental status Vaginal inflammation Arrhythmia irregular heartbeats
Luliderm Cream,Treatment of Fungal skin infections,Application site reactions burning irritation itching and redness Dry skin Skin peeling Blisters on skin
Lubry-GM Tablet, Osteoarthritis,Nausea Diarrhea Constipation Indigestion Heartburn Urine discoloration
Lamifin Lotion, Fungal skin infections,Application site reactions burning irritation itching and redness Skin peeling Headache Diarrhea Rash Indigestion Abnormal liver enzyme Itching Taste change Nausea Abdominal pain Flatulence
Lupride 4mg Injection,Treatment of Prostate cancerTreatment of EndometriosisTreatment of Uterine fibroidsTreatment of Precocious puberty (premature puberty),Decreased libido Testicular atrophy Increased sweating Fatigue Muscle weakness Erectile dysfunction Bone pain Injection site reaction Hot flashes
Lipitas 5mg Tablet,Treatment of High cholesterol Prevention of heart attack and stroke,Muscle pain Weakness Headache Abdominal pain Dizziness Joint pain Nausea
Levigress 750 Tablet,Treatment of Epilepsy/Seizures,Sleepiness Dizziness Fatigue Headache Decreased appetite Behavioral changes Aggressive behavior Irritation Agitation Nasal congestion stuffy nose Infection Convulsion Nasopharyngitis inflammation of the throat and nasal passages Nausea Tremors Vertigo Lethargy
Livoluk Oral Solution,Treatment of ConstipationTreatment of Hepatic encephalopathy,Abdominal pain Nausea Vomiting Diarrhea
Losanorm 50-H Tablet,Treatment of Hypertension (high blood pressure),Nausea Taste change Upset stomach Diarrhea Headache Dizziness Weakness Decreased blood pressure Increased blood uric acid Increased blood lipid level Glucose intolerance Electrolyte imbalance
Lovolkem 250mg Tablet,Treatment of Bacterial infections,Headache Dizziness Nausea Constipation Diarrhea
Losatan H Tablet,Treatment of Hypertension (high blood pressure),Nausea Taste change Upset stomach Diarrhea Headache Dizziness Weakness Decreased blood pressure Increased blood uric acid Increased blood lipid level Glucose intolerance Electrolyte imbalance
Lamitor DT 25 Tablet, Epilepsy/Seizures Bipolar disorder,Skin rash Headache Nausea Vomiting Dryness in mouth Insomnia difficulty in sleeping Sleepiness Dizziness Back pain Abdominal pain Blurred vision Double vision Impaired coordination Nasal congestion stuffy nose Infection
Lacom-CV 625 Tablet,Treatment of Bacterial infections,Vomiting Nausea Diarrhea Mucocutaneous candidiasis
Luliderm Cream,Treatment of Fungal skin infections,Application site reactions burning irritation itching and redness Dry skin Skin peeling Blisters on skin
Lamez OD 50  Tablet SR, Epilepsy/Seizures Bipolar disorder,Skin rash Headache Nausea Vomiting Dryness in mouth Insomnia difficulty in sleeping Sleepiness Dizziness Back pain Abdominal pain Blurred vision Double vision Impaired coordination Nasal congestion stuffy nose Infection
Lipigo 5 Tablet,Treatment of High cholesterol Prevention of heart attack and stroke,Muscle pain Weakness Headache Abdominal pain Dizziness Joint pain Nausea
Lacoset 150 Tablet, Epilepsy/Seizures,Dizziness Headache Nausea Sleepiness Vomiting Visual disturbance Dryness in mouth Muscle spasm
Losanorm 25 Tablet,Treatment of Hypertension (high blood pressure)Treatment of Heart failure Prevention of heart attack and stroke,Dizziness Decreased blood pressure Hypoglycemia low blood glucose level Increased potassium level in blood Increased blood urea
Levemex 500 Tablet,Treatment of Epilepsy/Seizures,Sleepiness Dizziness Fatigue Headache Decreased appetite Behavioral changes Aggressive behavior Irritation Agitation Nasal congestion stuffy nose Infection Convulsion Nasopharyngitis inflammation of the throat and nasal passages Nausea Tremors Vertigo Lethargy
Lethyrox 12.5 Tablet,Treatment of Hypothyroidism,Palpitations Vomiting Anxiety Diarrhea Weight loss Nervousness Increased appetite Tremors
Lamictal 25mg Dispersible Tablet, Epilepsy/Seizures Bipolar disorder,Skin rash Headache Nausea Vomiting Dryness in mouth Insomnia difficulty in sleeping Sleepiness Dizziness Back pain Abdominal pain Blurred vision Double vision Impaired coordination Nasal congestion stuffy nose Infection
Life OK  Eye Drop,Treatment of Allergic eye disease,Eye irritation Burning eyes Stinging in the eyes
Leon 750 Tablet,Treatment of Bacterial infections,Headache Dizziness Nausea Constipation Diarrhea
Lumaglo Cream, Melasma,Erythema skin redness Skin peeling Burning sensation Dryness Itching
Lulifin Lotion,Treatment of Fungal skin infections,Application site reactions burning irritation itching and redness Dry skin Skin peeling Blisters on skin
Lacne 20 Softgel Capsule,Treatment of Acne,Dry skin Increased liver enzymes Rash
Limarin 140 Capsule, Chronic liver disease Liver cirrhosis,Nausea Bloating Diarrhea Indigestion Loss of appetite Stomach pain Upset stomach Back pain Hair loss Dizziness Itching Rash
Levepsy 1000 Tablet,Treatment of Epilepsy/Seizures,Sleepiness Dizziness Fatigue Headache Decreased appetite Behavioral changes Aggressive behavior Irritation Agitation Nasal congestion stuffy nose Infection Convulsion Nasopharyngitis inflammation of the throat and nasal passages Nausea Tremors Vertigo Lethargy
Leepure Tablet,Treatment of Liver  disease,Nausea Fatigue Headache
Levepsy 250 Tablet,Treatment of Epilepsy/Seizures,Sleepiness Dizziness Fatigue Headache Decreased appetite Behavioral changes Aggressive behavior Irritation Agitation Nasal congestion stuffy nose Infection Convulsion Nasopharyngitis inflammation of the throat and nasal passages Nausea Tremors Vertigo Lethargy
Laxito Plus Liquid,Treatment of Constipation,Diarrhea Stomach pain
Losium 25 Tablet,Treatment of Hypertension (high blood pressure)Treatment of Heart failure Prevention of heart attack and stroke,Dizziness Decreased blood pressure Hypoglycemia low blood glucose level Increased potassium level in blood Increased blood urea
Livafin O 200mg Capsule,Treatment of Fungal infections,Nausea Abdominal pain Constipation Dizziness Headache Indigestion Vomiting
Lacrisol Eye Drop,Treatment of Dry eyes,Application site reactions burning irritation itching and redness
Lulisol Cream,Treatment of Fungal skin infections,Application site reactions burning irritation itching and redness Dry skin Skin peeling Blisters on skin
Levera XR 1000 Tablet,Treatment of Epilepsy/Seizures,Sleepiness Dizziness Fatigue Headache Decreased appetite Behavioral changes Aggressive behavior Irritation Agitation Nasal congestion stuffy nose Infection Convulsion Nasopharyngitis inflammation of the throat and nasal passages Nausea Tremors Vertigo Lethargy
Levobact 500 Tablet,Treatment of Bacterial infections,Headache Dizziness Nausea Constipation Diarrhea
Lipophage 60 Capsule, Obesity,Fat in stool Bowel incontinence Flatus with discharge Oily spotting Increased urge to pass bowels Oily evacuation Increased bowel movements
Lactolook Oral Solution Sugar Free,Treatment of ConstipationTreatment of Hepatic encephalopathy,Abdominal pain Nausea Vomiting Diarrhea
Lacrimos Gel,Treatment of Dry eyes,Eye irritation Burning eyes Eye discomfort Eye itching Eye pain
Lonitab 10 Tablet,Treatment of Hypertension (high blood pressure),Hypotension low blood pressure Headache Hypertrichosis excessive hair growth Weight gain Tachycardia Decreased white blood cell count E C G changes
Liketears Plus Eye Drop,Treatment of Dry eyes,Application site reactions burning irritation itching and redness
Loprin-DS Tablet,Prevention of Angina (heart-related chest pain)Treatment and prevention of Heart attackTreatment and prevention of Stroke,Heartburn Increased bleeding tendency Nausea Upset stomach Vomiting
Levera DT 500 Tablet,Treatment of Epilepsy/Seizures,Sleepiness Dizziness Fatigue Headache Decreased appetite Behavioral changes Aggressive behavior Irritation Agitation Nasal congestion stuffy nose Infection Convulsion Nasopharyngitis inflammation of the throat and nasal passages Nausea Tremors Vertigo Lethargy
